縣市,緯度,經度
桃園市新屋區士林紙廠,24.9818,121.026893
桃園市新屋區永安里辦公處,24.989628,121.028402
桃園市新屋區永安里辦公室,24.989628,121.028402
桃園市新屋區農改場附近,24.9523761,121.028446
桃園市新屋區永欣加油站,24.9888409,121.0301989
桃園市新屋區萊爾富(中山西路三段629號),24.9889867,121.031349
桃園市新屋區秋石坊餐廳,24.990464,121.032881
桃園市新屋區大坡派出所,24.9590618,121.0385226
桃園市新屋區大坡派出所,24.9590618,121.0385226
桃園市新屋區有盛錦鯉,25.00281,121.039054
桃園市新屋區大坡國中,24.9611593,121.0397864
桃園市新屋區大坡農會,24.9595391,121.039833
桃園市新屋區永豐餘附近,24.978553,121.0406385
桃園市新屋區東興路二段909號附近,25.0080379,121.0435825
桃園市新屋區永安派出所附近,24.9875375,121.0448349
桃園市新屋區永安托兒所附近,24.9868325,121.0467507
桃園市新屋區新屋氣象站附近,25.0064671,121.0471364
桃園市觀音區保生里保興路三段110號,25.0218926,121.0478433
桃園市觀音區保生里5.6.7鄰41-1號大覺寺,25.0186622,121.048688
桃園市觀音區大潭里632號大潭釣具店,25.0296621,121.0510651
桃園市觀音區大潭里14鄰大潭18之8號速邁樂加油站後社區,25.0296621,121.0510651
桃園市新屋區龍莊花園社區,24.9901362,121.0513964
桃園市新屋區蚵殼港圳附近,24.9603045,121.0520733
桃園市觀音區保生里163號 福聖宮,25.0186856,121.0542509
桃園市新屋區莊厝,24.984409,121.054443
桃園市新屋區莊厝,24.984409,121.054443
桃園市觀音區保生十街9號,25.0253824,121.0550621
桃園市觀音區保生里59-1號活動中心,25.015579,121.056037
桃園市新屋區六股橋附近,24.921041,121.057403
桃園市觀音區保生一街248號,25.0233028,121.0577511
桃園市楊梅區楊湖路四段587巷(麗景大地社區),24.9055396,121.0584643
桃園市觀音區保生二街62號,25.0245621,121.0585054
桃園市觀音區大潭國小,25.021519,121.058693
桃園市楊梅區楊湖路四段下四湖30號(維多利亞學苑),24.9101282,121.058937
桃園市新屋區邱厝,24.982963,121.058959
桃園市觀音區大潭里105號禾晟房地產,25.0298937,121.0593087
桃園市新屋區玉禾院社區,24.9826304,121.060572
桃園市楊梅區楊湖路四段515巷,24.9069436,121.0607458
桃園市新屋區永豐泡棉廠,24.9826602,121.0615927
桃園市楊梅區新明街966巷19號,24.9285309,121.0630385
桃園市楊梅區新明街966巷35弄5號,24.9285309,121.0630385
桃園市觀音區觀音里信義路濱海路大潭段10號路口,25.0277106,121.0634233
桃園市新屋區大和科技,24.9814916,121.0644698
桃園市新屋區三福宮,24.999656,121.065233
桃園市楊梅區楊湖路四段195巷387弄(田哥別莊),24.9096057,121.0653582
桃園市新屋區代天府,24.9676708,121.0654085
桃園市楊梅區富裕街675巷11號,24.9262169,121.0655808
桃園市楊梅區富裕街468號,24.9266559,121.0656705
桃園市楊梅區富裕街80號,24.9266559,121.0656705
桃園市新屋區石牌里辦公處,24.9989014,121.0664786
桃園市楊梅區富全街116號,24.9344934,121.0668655
桃園市觀音區新屋交界迴轉,24.9826597,121.067907
桃園市新屋區鍾厝,24.9826597,121.067907
桃園市新屋區陳家公廳附近,24.9826597,121.067907
桃園市新屋區陳家公廳附近,24.9826597,121.067907
桃園市新屋區清松社區,24.9826597,121.067907
桃園市新屋區禮城邦社區,24.9826597,121.067907
桃園市新屋區盧厝,24.9826597,121.067907
桃園市新屋區湖濱社區,24.9826597,121.067907
桃園市新屋區立晨富利社區,24.9826597,121.067907
桃園市新屋區楓芳檳榔攤,24.9826597,121.067907
桃園市新屋區祥運廣告,24.9826597,121.067907
桃園市新屋區羅媽媽社區,24.9826597,121.067907
桃園市新屋區永安打鐵店,24.9826597,121.067907
桃園市新屋區下田棧板廠,24.9826597,121.067907
桃園市新屋區石雕場,24.9826597,121.067907
桃園市新屋區豆腐廠,24.9826597,121.067907
桃園市新屋區田心園,24.9826597,121.067907
桃園市新屋區田中路社區,24.9826597,121.067907
桃園市新屋區何氏祠堂附近,24.9826597,121.067907
桃園市新屋區旺旺懷恩花園,24.9826597,121.067907
桃園市新屋區高陞旺企業有限公司,24.9826597,121.067907
桃園市新屋區鐵頭店,24.9826597,121.067907
桃園市新屋區許家理髮店,24.9826597,121.067907
桃園市新屋區公買局檳榔攤,24.9826597,121.067907
桃園市楊梅區富岡13鄰(謝姓祠堂).伯公岡925巷回頭.新明街640號,24.9302808,121.0689274
桃園市楊梅區富民街669巷(富翔雅筑),24.9210758,121.068967
桃園市楊梅區富民街339巷,24.9210758,121.068967
桃園市楊梅區富民街340巷(狀元堡),24.9210758,121.068967
桃園市楊梅區富民街271巷口(白雲別莊) (下四湖12-1號),24.9210758,121.068967
桃園市新屋區豐田農場附近,24.9519949,121.069462
桃園市觀音區三弘石材,25.0108589,121.0694828
桃園市楊梅區富豐二路121號,24.9172995,121.069734
桃園市楊梅區富豐三路二段120號,24.9172995,121.069734
桃園市觀音區武玄宮,25.0277239,121.0704414
桃園市楊梅區富聯路725號,24.9389836,121.0707285
桃園市觀音區塘背16之1號,25.028508,121.070916
桃園市楊梅區楊湖路四段195巷41弄,24.909447,121.0718333
桃園市楊梅區楊湖路四段110號(花田錦厝社區),24.91247,121.072136
桃園市楊梅區楊湖路四段92巷,24.9117827,121.0725286
桃園市新屋區大億汽車保養廠,24.9791142,121.0727032
桃園市觀音區觀音里信義路389號珍味快餐店,25.0336549,121.073365
桃園市新屋區彭厝,25.002643,121.073547
桃園市楊梅區中正路481號,24.942393,121.0746674
桃園市楊梅區富聯路尾-富聯路198巷口,24.9385626,121.0747537
桃園市觀音區觀音里信義路143號對面萬達煙火路口,25.0367055,121.075049
桃園市楊梅區富豐三路1段190號,24.9176075,121.0750535
桃園市楊梅區富岡活動中心(新明街347巷口),24.9319518,121.0751823
桃園市楊梅區中正路442巷,24.9415729,121.0754198
桃園市楊梅區新明街350巷21弄14號(富岡活動中心對面),24.9307907,121.0759397
桃園市新屋區翰林院台灣道教中心,24.9921407,121.0761259
桃園市觀音區觀音里16鄰光明路白沙岬燈塔,25.041313,121.076243
桃園市楊梅區新明街308巷,24.9320809,121.0764387
桃園市觀音區觀音里5鄰76號社區,25.0365677,121.0765048
桃園市觀音區觀音里信路145巷65弄2號溫莎小鎮社區,25.0365677,121.0765048
桃園市楊梅區楊湖路三段875巷168弄(聖地牙哥社區),24.9063009,121.0767791
桃園市楊梅區楊湖路三段846巷65弄與95弄路口(楊湖天下),24.9145429,121.0770191
桃園市新屋區五洲製藥公司附近,24.9849824,121.0771525
桃園市觀音區觀音里光明路23巷27號新世界社區,25.036149,121.077734
桃園市觀音區觀音里光明路37巷1弄1號林裕強宅前路口,25.0368869,121.077927
桃園市楊梅區楊湖路3段846巷266號,24.9198128,121.0781392
桃園市新屋區東福路路口,24.9746055,121.0784879
桃園市楊梅區新明街1-83號,24.9346931,121.0787907
桃園市觀音區觀音里仁愛路118號,25.035094,121.078793
桃園市楊梅區中正路228巷,24.9378835,121.0789736
桃園市楊梅區中正路292巷,24.9378835,121.0789736
桃園市新屋區石磊里活動中心,24.9931487,121.079294
桃園市楊梅區富聯路6巷,24.9367151,121.0794151
桃園市楊梅區新明街天主堂,24.9353272,121.0796176
桃園市新屋區新屋馬場,24.991308,121.079628
桃園市觀音區觀音里信義路52號  衛生所,25.036809,121.0797379
桃園市觀音區三和里6鄰36號(上元宮),25.0105996,121.079881
桃園市楊梅區中正路140巷,24.9362904,121.0799258
桃園市新屋區社福路口,24.957362,121.080089
桃園市觀音區觀音里中興路35號豐米便當,25.0382508,121.0802185
桃園市觀音區觀音里和平路8號  珍香麵包,25.036613,121.080312
桃園市觀音區三和里5鄰39-1號,25.0159847,121.0804661
桃園市楊梅區富岡國宅,24.936183,121.080842
桃園市觀音區觀音里中正路243巷,25.034308,121.080857
桃園市觀音區觀音里中正路232號(自由聯盟),25.0348625,121.080905
桃園市觀音區觀音里中興路2號(桃園客運),25.037822,121.08094
桃園市觀音區觀音里甘泉街12號甘泉寺前,25.0370879,121.0816326
桃園市觀音區觀音里中正路221巷,25.0333123,121.0817141
桃園市觀音區觀音里三民路43巷1號(長頸鹿美語),25.03548,121.0817597
桃園市楊梅區富豐南路109巷12弄,24.9326673,121.0819235
桃園市楊梅區中正路67-208號,24.9364253,121.0821031
桃園市楊梅區中華街,24.9353869,121.082105
桃園市楊梅區富源街,24.9353869,121.082105
桃園市新屋區社子國小附近,24.9566894,121.0821162
桃園市觀音區三和里三座路30號,25.0139528,121.0822362
桃園市楊梅區中正路64號,24.9361065,121.0824934
桃園市觀音區觀音里中正路390號(福興樓餐廳),25.0364182,121.0827061
桃園市觀音區觀音里文化路2號(觀音國小),25.0353997,121.0828183
桃園市觀音區玉林路一段91號,25.0393596,121.0829626
桃園市楊梅區成功路,24.9345931,121.0830227
桃園市楊梅區中正路67-1號(富岡火車站),24.934427,121.083067
桃園市楊梅區幸福筆記,24.934454,121.0830707
桃園市楊梅區信義街,24.9356752,121.083638
桃園市觀音區觀音里中正路100號與文化路路口,25.0333144,121.0839072
桃園市楊梅區高鐵南路10段599巷,24.9000504,121.0842843
桃園市楊梅區楊湖路三段600號(三元宮),24.9125113,121.0843608
桃園市觀音區觀音里中正路68號久弘科技,25.0337136,121.0843708
桃園市楊梅區伯公岡167號,24.9394066,121.0845011
桃園市觀音區觀音里中山路40號(觀音郵局),25.0351419,121.0845409
桃園市楊梅區民生街93-143起,24.9381232,121.0845883
桃園市楊梅區富元街612號,24.9233262,121.0846033
桃園市新屋區東明國小,24.9763529,121.084799
桃園市楊梅區上湖二路88號(上湖國小),24.9096622,121.0849457
桃園市楊梅區豐興街122巷17號,24.9370593,121.08561
桃園市楊梅區民富路924巷,24.9362128,121.0856823
桃園市楊梅區富豐北路272巷2號,24.9389135,121.0859185
桃園市楊梅區民生街1-63號起,24.9393141,121.0859204
桃園市楊梅區豐興街,24.9366436,121.0860073
桃園市楊梅區富豐北路149號,24.9381304,121.0864443
桃園市觀音區三和里文化路(三和加油站),25.0252595,121.0864716
桃園市觀音區廣興里1鄰118號(觀音消防隊),25.0319345,121.08661
桃園市觀音區坑尾12.13鄰(台15路牌),25.0249475,121.0867027
桃園市楊梅區新富11街2巷,24.9390168,121.0869402
桃園市楊梅區新富十街23號,24.9379169,121.0877519
桃園市楊梅區富元街100巷(佳鄉社區),24.9306159,121.0877805
桃園市楊梅區新富十一街90號,24.9397169,121.0879046
桃園市楊梅區民生街249巷,24.940421,121.0879281
桃園市新屋區東明活動中心,24.9716549,121.0881691
桃園市楊梅區富豐北路15號(東鴻建材行),24.9357286,121.0881811
桃園市觀音區新興里三王宮,25.0069067,121.0883894
桃園市楊梅區楊湖路三段421巷,24.9094595,121.0889092
桃園市楊梅區員德路20號,24.9362936,121.0890267
桃園市楊梅區伯公岡162-2號,24.92987,121.089157
桃園市楊梅區民生街505巷,24.9461276,121.0892219
桃園市觀音區玉林路一段330巷30號前社區,25.0418961,121.0892423
桃園市楊梅區民富路三段746號.新富八街起市地重劃區,24.9352599,121.0892925
桃園市新屋區三民路一段632巷,24.9835111,121.0893616
桃園市楊梅區新富八街20號,24.9356397,121.0897104
桃園市新屋區徐氏公廳附近,24.9810433,121.0902265
桃園市新屋區綠之源花卉農場,24.9976912,121.0906166
桃園市楊梅區新富七街29號,24.935741,121.0906283
桃園市楊梅區富豐三路一段398號,24.918678,121.0906499
桃園市楊梅區新富三街203號,24.9367579,121.0910648
桃園市楊梅區民有路2段579號,24.9482311,121.0913286
桃園市新屋區日忠商店,24.9749846,121.0915414
桃園市新屋區7-11便利商店(中山西路一段567號),24.9749846,121.0915414
桃園市新屋區711便利商店(中山西路一段586號),24.9749846,121.0915414
桃園市觀音區廣興里中山路1段413號(活動中心),25.0342176,121.0916268
桃園市觀音區三和里文化路262號水牛城社區,25.0173574,121.0919492
桃園市楊梅區新富五街51號,24.935764,121.0921474
桃園市觀音區坑尾里10鄰69號 (美夢成真社區),25.020027,121.092285
桃園市楊梅區新富二街78號,24.9362057,121.0926274
桃園市觀音區三和里文化路370號尚陽房地產,25.0183743,121.0928232
桃園市楊梅區新富一街141號,24.9350233,121.092896
桃園市新屋區華興路附近,24.9952958,121.0931891
桃園市新屋區萊爾富附近(中興路807號),24.9607267,121.0933112
桃園市楊梅區民富路三段574號富岡加油站,24.9338519,121.0934709
桃園市觀音區新興里長家,25.0059824,121.0936983
桃園市楊梅區楊湖路三段255巷,24.9127422,121.094359
桃園市楊梅區楊湖路三段248巷119弄,24.9128717,121.09436
桃園市新屋區後湖塘附近,24.9825312,121.0944147
桃園市新屋區11號池附近,24.9825312,121.0944147
桃園市龍潭區三水廟前,24.8350825,121.0946615
桃園市新屋區謝姓祠堂附近,24.9926025,121.0947741
桃園市新屋區桃92附近,24.9926025,121.0947741
桃園市新屋區志聯工業,24.96282,121.094794
桃園市楊梅區楊湖路三段法王寺(下四湖),24.9127503,121.0948407
桃園市觀音區中山路一段550號,25.0333729,121.0951358
桃園市觀音區成功路濱海廣興段248號山隆站,25.034371,121.095694
桃園市觀音區成功路濱海廣興段282號,25.034371,121.095694
桃園市觀音區玉林路一段770號,25.0513819,121.096051
桃園市楊梅區民富路三段454巷,24.9318567,121.0962671
桃園市楊梅區員本里蝸牛的家,24.9387876,121.0965637
桃園市楊梅區員本里5.6.7.8.17鄰,24.9387876,121.0965637
桃園市觀音區石橋商店,25.0067885,121.0966021
桃園市觀音區中山路一段599號,25.0331749,121.09681
桃園市新屋區百成驗車場附近,24.973059,121.0971431
桃園市楊梅區民安路506號(楊富龍莊),24.9160211,121.0974339
桃園市楊梅區楊湖路三段319巷口,24.9074099,121.0975138
桃園市觀音區坑尾里9鄰58號 (居易社區),25.0196251,121.0979963
桃園市觀音區坑尾里9鄰57號  玉興宮,25.0196251,121.0979963
桃園市新屋區億瑋實業附近,24.98421,121.09803
桃園市新屋區鳳仙宮,24.996768,121.0984062
桃園市楊梅區民安路486號,24.9169876,121.0985903
桃園市楊梅區民有路2段292巷440號,24.9483657,121.0987727
桃園市楊梅區楊湖路二段916巷口,24.9151739,121.0988378
桃園市楊梅區民富路三段290號,24.9306456,121.0989153
桃園市新屋區台灣蔡餐廳,24.9733736,121.0992271
桃園市新屋區金百利附近,24.968676,121.099501
桃園市新屋區金百利附近,24.968676,121.099501
桃園市新屋區萊爾富(中山路528號),24.973342,121.099541
桃園市新屋區信仟五金,24.973261,121.100213
桃園市新屋區信一街,24.9708069,121.1002532
桃園市楊梅區民富路三段254號,24.9298244,121.100377
桃園市楊梅區員本里員笨19號,24.945699,121.100577
桃園市觀音區坑尾5鄰,25.017693,121.100825
桃園市新屋區八德街,24.971932,121.1008825
桃園市新屋區新屋國中附近,24.970523,121.101623
桃園市楊梅區富豐一路2號,24.9233987,121.1018919
桃園市觀音區育仁國小十字路口→養錦鯉,25.01293,121.1020971
桃園市新屋區全家便利商店,24.9728289,121.1024589
桃園市新屋區新屋圖書館,24.9705856,121.1028969
桃園市觀音區大觀路四段380號,25.03495,121.102897
桃園市觀音區成功路二段1538號,25.0364818,121.1030783
桃園市新屋區巧福麵包附近,24.9727283,121.1031438
桃園市楊梅區楊湖路二段615巷口,24.9083817,121.1031937
桃園市觀音區成功路二段1458號,25.0361862,121.1032122
桃園市觀音區紀家莊,25.040101,121.1033742
桃園市新屋區中正路160號,24.9733563,121.1034153
桃園市觀音區成功路二段1247號,25.0369006,121.1034367
桃園市觀音區成功路二段1063號,25.0406717,121.1039278
桃園市觀音區坑尾里1鄰3-12號(蘭亭集序社區),24.998052,121.104095
桃園市觀音區中古車行,25.0309042,121.1041984
桃園市觀音區中山路一段901號(風火輪車業),25.0309042,121.1041984
桃園市楊梅區民有路2段206巷26號,24.9480441,121.1042753
桃園市楊梅區民安路52巷口,24.9276339,121.1044057
桃園市楊梅區民富路3段929巷1號,24.9278005,121.1044261
桃園市新屋區姜厝,24.9761942,121.1044425
桃園市新屋區范姜公廳,24.9761942,121.1044425
桃園市楊梅區興達大鎮(中山南路800巷),24.8960907,121.1047727
桃園市楊梅區楊湖路二段615巷58號(滿庭芳傢俱),24.9101605,121.1049349
桃園市觀音區中山路一段940號(東帝家具),25.029836,121.105029
桃園市楊梅區民富路三段68巷202號,24.9325358,121.1050523
桃園市觀音區廣興里3.4鄰坑子背廣場,25.0352645,121.1051594
桃園市新屋區新屋區公所,24.972824,121.105293
桃園市新屋區食德福麵包店,24.9733991,121.1054388
桃園市楊梅區民富路三段24號7-11便利店,24.9273478,121.1055218
桃園市楊梅區民有路2段103號,24.9467119,121.1056561
桃園市楊梅區民富路三段20弄65號,24.9273536,121.1057321
桃園市楊梅區民豐路811號,24.9274948,121.1057469
桃園市楊梅區員本活動中心,24.9383134,121.1061714
桃園市楊梅區泰圳路640巷(楊梅大鎮),24.903799,121.106475
桃園市新屋區三陽機車行附近,24.975224,121.10648
桃園市新屋區中正路6號,24.9735654,121.1066155
桃園市觀音區大觀路四段246號,25.035313,121.10666
桃園市觀音區大觀路四段240號,25.035412,121.106699
桃園市新屋區景碩科技公司,24.9844391,121.106776
桃園市楊梅區楊湖路二段491號(豐實農場),24.9128304,121.1068341
桃園市新屋區寶島眼鏡行,24.9728959,121.1069554
桃園市觀音區中山路一段967巷,25.0309744,121.1070489
桃園市新屋區千賀商行,24.9803434,121.1070934
桃園市新屋區利明行附近,24.972944,121.1072125
桃園市新屋區永安農會,24.9723236,121.1075824
桃園市新屋區永安農會附近,24.9723236,121.1075824
桃園市新屋區運興超市附近,24.97216,121.107742
桃園市新屋區新一排骨附近,24.9726134,121.1077433
桃園市新屋區新竹客運,24.971128,121.108261
桃園市楊梅區民富路二段368號（楓築小館）,24.9259503,121.1083195
桃園市新屋區連內閣,24.983664,121.108473
桃園市新屋區桂林花園,24.979164,121.108662
桃園市新屋區電信局,24.9714629,121.1090642
桃園市楊梅區員本路715號,24.9382725,121.1096622
桃園市觀音區成功路四段142號(濱海路廣興段),25.035867,121.1096727
桃園市新屋區北海加油站,24.9701026,121.1098394
桃園市觀音區成功路二段168號,25.0459706,121.1101136
桃園市新屋區永捷汽車修理廠,24.9660264,121.1109005
桃園市楊梅區民有路一段488號,24.9415331,121.1110209
桃園市楊梅區民豐路526巷,24.9290992,121.111218
桃園市楊梅區泰圳路220號,24.9054289,121.1120751
桃園市觀音區新華路一段490 (7－11),24.9934427,121.1121445
桃園市觀音區成功路四段39號(吊車前),25.0356496,121.1123281
桃園市新屋區長埤附近,24.9819715,121.1126801
桃園市觀音區文化路坑尾段與台15十字路口起→三和里1鄰路牌,25.0358719,121.1137438
桃園市觀音區紅池(大圳旁),25.0359365,121.1137544
桃園市觀音區觀音區行政園區,25.0359365,121.1137544
桃園市觀音區保興路和生橋前,25.0359365,121.1137544
桃園市觀音區新興10鄰,25.0359365,121.1137544
桃園市觀音區歐議員宅,25.0359365,121.1137544
桃園市新屋區廷豐空調,24.9484321,121.1139964
桃園市觀音區藍埔里青埔10之14號(龍莊社區),25.005964,121.114011
桃園市觀音區藍埔里青埔5之29號(幸福社區),25.005964,121.114011
桃園市觀音區工業八路558號,25.0378238,121.1142836
桃園市新屋區紅泥坡附近,24.970572,121.114493
桃園市觀音區金廣路205巷(社區),25.0266034,121.1145849
桃園市新屋區85度C附近,24.9701263,121.1148643
桃園市新屋區啟翔金屬,24.958359,121.114987
桃園市楊梅區甡甡路902巷口 (桃源山水社區),24.8909426,121.1154733
桃園市新屋區善天寺,24.9648326,121.1158574
桃園市新屋區善永寺,24.9648326,121.1158574
桃園市觀音區金華路水尾段,25.012855,121.115894
桃園市楊梅區楊湖路二段231號(北基加油站),24.912116,121.115907
桃園市觀音區中山路一段1432號,25.022958,121.115924
桃園市楊梅區民有一路367巷110號,24.939375,121.1159649
桃園市觀音區中山路一段1429巷,25.0238003,121.1161176
桃園市觀音區金湖里金華路809號(金湖龍莊社區),25.015767,121.116182
桃園市觀音區新華路一段690號,24.9964834,121.116252
桃園市楊梅區甡甡路902巷134號,24.8916359,121.1164454
桃園市觀音區新華路一段707號(藍埔活動中心),24.9968457,121.1164826
桃園市觀音區藍埔里樹子腳4之46號(富貴緣社區),25.0006848,121.1166193
桃園市中壢區啟文路二段350巷口,24.9788765,121.116726
桃園市觀音區成功路二段901至一段515號,25.0506319,121.11675
桃園市新屋區萊爾富(中山東路一段162號),24.9699539,121.116953
桃園市新屋區萊爾富附近,24.9699539,121.116953
桃園市楊梅區楊新路四段奉天宮,24.9487024,121.1170334
桃園市觀音區民族路3鄰路口前,25.0500629,121.1170462
桃園市觀音區民族路9號?→ →垃圾車已滿進垃圾場傾倒,25.0500629,121.1170462
桃園市新屋區笨期湖附近,24.9812284,121.1173355
桃園市新屋區笨期湖附近,24.9812284,121.1173355
桃園市觀音區金華路應昇機械,25.0063588,121.1176845
桃園市觀音區長春街16,25.0504666,121.1178141
桃園市新屋區全富社區1,24.9515158,121.1180532
桃園市新屋區全富社區2,24.9515158,121.1180532
桃園市新屋區長祥宮,24.9602438,121.1181217
桃園市觀音區文林路1292號(社區前),25.0348538,121.1182358
桃園市觀音區永吉街10,25.0493849,121.118482
桃園市觀音區民族路59號,25.0486016,121.1185364
桃園市觀音區吉祥街65巷39-18號,25.0492177,121.1185605
桃園市觀音區建國路327,25.0491479,121.118601
桃園市觀音區大觀路三段550號,25.0363365,121.1186749
桃園市觀音區文林路1075號巷內,25.0340764,121.1188277
桃園市楊梅區湖山街22號(薪家坡社區),24.9085142,121.1189555
桃園市楊梅區楊新路四段435巷椰城社區,24.943966,121.118984
桃園市觀音區成功路四段375號,25.0521887,121.1190272
桃園市觀音區吉祥街81巷10-48號,25.0483682,121.1191318
桃園市楊梅區楊湖路二段6號(厚生玻璃前迴轉),24.9109349,121.1193916
桃園市楊梅區民富路一段796巷內(樂士電機),24.925265,121.119465
桃園市觀音區樹林里19鄰83號            (起點),25.0612147,121.1194841
桃園市觀音區樹林里4鄰395號前,25.0612147,121.1194841
桃園市觀音區民族路109號,25.0472759,121.119594
桃園市楊梅區楊湖路二段上四湖18號(麗傑社區),24.9110747,121.1196986
桃園市新屋區宏泰汽車修理廠,24.9708825,121.119738
桃園市觀音區大觀路三段480號(富林國小),25.0366078,121.1201935
桃園市觀音區富林里11鄰10號前,25.0366078,121.1201935
桃園市觀音區大觀路三段561號(富林社區),25.0366078,121.1201935
桃園市觀音區吉祥街、民權路129巷1-37號,25.0491459,121.1203481
桃園市楊梅區楊新路四段478巷社區,24.9464043,121.1205819
桃園市新屋區文龍電機,24.9818292,121.1205906
桃園市楊梅區民豐路116巷,24.9332775,121.1209894
桃園市楊梅區民有路一段42號,24.9350243,121.1211936
桃園市觀音區富春路195號,25.0410336,121.1212444
桃園市觀音區大觀路三段441號(拾荒者宅前),25.0363364,121.1212517
桃園市觀音區樹林里1鄰(61旁樹林子167-6號),25.051823,121.121457
桃園市觀音區民族路927號,25.0439684,121.1216342
桃園市觀音區樂群街14巷3-19號,25.0506453,121.1216378
桃園市觀音區樂群街16巷3-15號,25.0503244,121.1218593
桃園市觀音區關平爺路17號(樹林協天宮)旁,25.0448701,121.1220504
桃園市楊梅區楊湖路一段676巷90號,24.915931,121.122062
桃園市觀音區民族路591巷168號(吳厝楊家莊)後門,25.0435917,121.1220762
桃園市新屋區協豪水泥附近,24.9937306,121.1220896
桃園市楊梅區楊新路三段345巷,24.935297,121.1225608
桃園市楊梅區楊新路三段319號,24.9343476,121.123053
桃園市觀音區大觀路三段357號,25.036601,121.123309
桃園市楊梅區楊新路四段自由聯盟,24.9368879,121.123646
桃園市楊梅區楊湖路一段773巷46弄(大衛營社區),24.910308,121.123713
桃園市楊梅區楊新路四段大造加油站,24.937161,121.124179
桃園市新屋區頂紅泥坡附近,24.973002,121.12443
桃園市楊梅區楊新路3段87巷16弄1號,24.931484,121.124469
桃園市觀音區大觀路三段328號,25.037174,121.124502
桃園市楊梅區民富路彭宅瑞原里11鄰88號,24.9218137,121.1245746
桃園市楊梅區楊湖路一段773巷70弄(歐洲山莊社區),24.909167,121.124611
桃園市觀音區敬業街71巷12-6號,25.0521314,121.1246246
桃園市觀音區福壽街340,25.0544591,121.1246515
桃園市楊梅區甡甡路693巷口,24.8914489,121.124701
桃園市楊梅區中山南路往北,24.9023333,121.1248399
桃園市楊梅區梁屋(中山南路),24.9023333,121.1248399
桃園市觀音區安和街360至9號,25.053264,121.1249323
桃園市楊梅區楊湖路一段676巷33弄2號,24.9143765,121.1252134
桃園市觀音區仁德街389,25.053816,121.1253243
桃園市楊梅區中山南路690巷口,24.9027814,121.1254728
桃園市觀音區大觀路三段308號,25.0371678,121.1255627
桃園市觀音區敬業街83巷60-2號,25.0517506,121.1255696
桃園市楊梅區楊湖路一段676巷10弄17號,24.9148103,121.1255961
桃園市觀音區泰安街297巷至17號,25.051004,121.1256557
桃園市楊梅區和平路87巷梅園新城,24.9356631,121.126118
桃園市楊梅區和平路上田托兒所,24.9375972,121.1261249
桃園市觀音區大堀里大湖路2段677巷1號(新坡小鎮),25.009454,121.126262
桃園市楊梅區長祥路181號,24.9541608,121.1263772
桃園市楊梅區隘口寮1號(鄭家牛欄),24.893827,121.1265777
桃園市楊梅區和平路398巷(天生富貴),24.9482257,121.1268201
桃園市楊梅區田心子2-5號,24.94557,121.127076
桃園市觀音區中山路二段239號(和美幼稚園),25.0170205,121.1272595
桃園市楊梅區民富路一段366巷36弄42號,24.9223467,121.1273421
桃園市楊梅區聚寶莊(中山南路),24.904069,121.127515
桃園市觀音區金宏,25.0596282,121.127617
桃園市楊梅區民富路一段368號（萊爾富便利店）,24.9210781,121.1277169
桃園市觀音區大湖路二段478號,25.004924,121.127849
